school_year,dbn,school_name,report_type,avg_metric_score,n_metric_rows
2018,06M128,P.S. 128 Audubon,EMS,3.33,20
2018,05M369,Urban Assembly School for the Performing Arts,HS,3.033333333333333,30
2018,05M499,Frederick Douglass Academy,EMS,2.4177272727272725,22
2018,05M499,Frederick Douglass Academy,HS,2.763,30
2018,05M514,New Design Middle School,EMS,2.0745454545454547,22
2018,05M517,Teachers College Community School,EMS,3.21,16
2016,75M226,P.S. M226,D75,3.02,3
2018,05M670,Thurgood Marshall Academy for Learning and Social,EMS,2.056363636363636,22
2018,05M670,Thurgood Marshall Academy for Learning and Social,HS,2.609655172413793,29
2018,05M692,"High School for Mathematics, Science and Engineeri",HS,4.46875,24
2018,06M004,P.S. 004 Duke Ellington,EMS,3.275909090909091,22
2018,06M005,P.S. 005 Ellen Lurie,EMS,3.3865,20
2018,06M008,P.S. 008 Luis Belliard,EMS,3.4313636363636366,22
2018,06M018,P.S. 018 Park Terrace,EMS,2.496,25
2018,06M028,P.S. 028 Wright Brothers,EMS,3.375909090909091,22
2018,06M048,P.S. 048 P.O. Michael J. Buczek,EMS,3.3859090909090908,22
2018,06M052,Harold O. Levy School,EMS,3.0308,25
2018,06M098,P.S. 098 Shorac Kappock,EMS,3.0845454545454545,22
2018,06M103,Dos Puentes Elementary School,EMS,2.7473684210526317,19
2018,06M115,P.S. 115 Alexander Humboldt,EMS,2.6805555555555554,18
2018,06M132,P.S. 132 Juan Pablo Duarte,EMS,3.091111111111111,18
2018,06M223,The Mott Hall School,EMS,4.057777777777778,18
2018,06M143,J.H.S. 143 Eleanor Roosevelt,EMS,3.2344,25
2018,06M152,P.S. 152 Dyckman Valley,EMS,2.8165,20
2018,06M153,P.S. 153 Adam Clayton Powell,EMS,2.917,20
2018,06M173,P.S. 173,EMS,3.1577272727272727,22
2018,06M178,Professor Juan Bosch Public School,EMS,2.7055555555555557,18
2018,06M187,P.S./I.S. 187 Hudson Cliffs,EMS,3.958421052631579,19
2018,06M189,P.S. 189,EMS,3.525,18
2018,06M192,P.S. 192 Jacob H. Schiff,EMS,3.0766666666666667,18
2018,06M209,Hamilton Grange Middle School,EMS,3.6174074074074074,27
2018,06M210,P.S./I.S. 210 - Twenty-first Century Academy for C,EMS,3.915,22
2018,06M211,Inwood Early College for Health and Information Te,HS,3.105769230769231,26
2018,06M278,Paula Hedbavny School,EMS,3.3044444444444445,27
2018,06M293,City College Academy of the Arts,EMS,3.1830434782608696,23
2018,06M293,City College Academy of the Arts,HS,3.9945833333333334,24
2016,75Q009,P.S. 009,D75,3.1233333333333335,3
2018,06M311,Amistad Dual Language School,EMS,3.168,25
2018,06M314,Muscota,EMS,4.652142857142858,14
2018,06M319,M.S. 319 - Maria Teresa,EMS,3.1625925925925924,27
2018,06M322,Middle School 322,EMS,3.094,25
2018,06M324,M.S. 324 - Patria Mirabal,EMS,3.803703703703704,27
2018,06M328,Community Math & Science Prep,EMS,2.9366666666666665,27
2018,06M346,Community Health Academy of the Heights,EMS,3.4712,25
2017,03M076,P.S. 076 A. Philip Randolph,EMS,2.4722222222222223,27
2018,06M346,Community Health Academy of the Heights,HS,3.4096774193548387,31
2018,06M348,Washington Heights Expeditionary Learning School,EMS,3.8788,25
2018,06M348,Washington Heights Expeditionary Learning School,HS,3.188148148148148,27
2018,06M349,Harbor Heights,EMS,3.401764705882353,17
2018,06M366,Washington Heights Academy,EMS,4.505238095238095,21
2018,06M368,Hamilton Heights School,EMS,2.651111111111111,18
2018,06M423,High School for Excellence and Innovation,HST,3.476923076923077,26
2018,06M457,George Washington Yabc,YABC,3.587,20
2018,06M462,The College Academy,HS,3.2825806451612904,31
2018,06M463,High School for Media and Communications,HS,2.5806451612903225,31
2018,06M467,High School for Law and Public Service,HS,2.347741935483871,31
2018,06M468,High School for Health Careers and Sciences,HS,3.1283870967741936,31
2018,06M513,Castle Bridge School,EMS,3.8475,4
2018,06M528,I.S. 528 Bea Fuller Rodgers School,EMS,3.795925925925926,27
2018,06M540,A. Philip Randolph Campus High School,HS,2.8756666666666666,30
2018,06M552,Gregorio Luperon High School for Science and Mathe,HS,3.4996666666666667,30
2018,07X001,P.S. 001 Courtlandt School,EMS,3.0195454545454545,22
2018,07X005,P.S. 5 Port Morris,EMS,2.4916,25
2018,07X018,P.S. 018 John Peter Zenger,EMS,2.418,20
2018,07X025,P.S. 025 Bilingual School,EMS,3.6455,20
2018,07X029,P.S./M.S. 029 Melrose School,EMS,2.2392307692307694,26
2018,07X030,P.S. 030 Wilton,EMS,2.8255,20
